runs/200k_abyss_k16_s200_l25	1339	65	15	528	1835	3867	7383	4733	11742	185122	200k-scaffolds.fa
runs/200k_abyss_k17_s200_l25	796	48	10	534	2718	6359	10088	8034	23414	191533	200k-scaffolds.fa
runs/200k_abyss_k17_s800_l25	1188	73	15	514	1730	3336	6654	4298	11429	172773	200k-scaffolds.fa
runs/200k_abyss_k18_s200_l25	598	52	12	535	2529	5386	9165	5928	12030	195684	200k-scaffolds.fa
runs/200k_abyss_k18_s500_l25	752	57	13	535	2016	5217	8442	5277	11289	185427	200k-scaffolds.fa
runs/200k_abyss_k18_s800_l25	895	68	13	516	1806	4113	8198	4883	11289	181000	200k-scaffolds.fa
runs/200k_abyss_k19_s300_l25	484	49	10	532	3514	6370	10279	8043	23425	198092	200k-scaffolds.fa
runs/200k_abyss_k19_s500_l25	610	51	11	532	2605	5920	9952	6249	11939	188562	200k-scaffolds.fa
runs/200k_abyss_k19_s800_l25	704	54	11	532	2474	5926	9178	6088	11822	184815	200k-scaffolds.fa
runs/200k_abyss_k19_s900_l25	731	57	11	530	2399	5926	9178	6267	11822	183143	200k-scaffolds.fa
runs/200k_abyss_k20_s600_l25	472	41	9	583	3263	7498	14606	8193	15564	191846	200k-scaffolds.fa
runs/200k_abyss_k20_s800_l25	528	49	10	583	2870	7316	12025	7496	16326	190657	200k-scaffolds.fa
runs/200k_abyss_k21_s200_l25	258	33	8	952	3968	10298	13724	10019	20173	203980	200k-scaffolds.fa
runs/200k_abyss_k21_s500_l25	404	41	9	846	3329	7500	11657	8297	20193	193875	200k-scaffolds.fa
runs/200k_abyss_k21_s600_l25	425	44	10	500	3225	7372	12019	8088	20193	192655	200k-scaffolds.fa
runs/200k_abyss_k21_s800_l25	475	49	10	500	3225	7372	11024	7884	20193	191283	200k-scaffolds.fa
runs/200k_abyss_k22_s200_l25	210	36	8	797	3720	10033	13906	9902	20285	206833	200k-scaffolds.fa
runs/200k_abyss_k23_s200_l25	169	32	8	956	4257	9063	14355	10664	23630	207962	200k-scaffolds.fa
runs/200k_abyss_k24_s200_l25	133	31	7	700	4282	10495	20291	12977	32076	209800	200k-scaffolds.fa
runs/200k_abyss_k24_s800_l25	293	44	9	524	3386	7594	12204	8694	20327	197394	200k-scaffolds.fa
runs/200k_abyss_k24_s900_l25	305	47	9	515	3363	7594	19242	9073	20327	197014	200k-scaffolds.fa
runs/200k_abyss_k25_s200_l25	106	26	6	960	7625	8673	27965	14631	29704	209450	200k-scaffolds.fa
runs/200k_abyss_k25_s300_l25	119	28	8	960	6236	8673	15497	10638	20307	208643	200k-scaffolds.fa
runs/200k_abyss_k26_s1000_l25	230	46	10	596	3386	7784	12458	7958	14755	201534	200k-scaffolds.fa
runs/200k_abyss_k26_s200_l25	95	23	6	2066	7784	12033	20379	13791	29733	209728	200k-scaffolds.fa
